Processed_Job_Title,Processed_Job_Description
marketing assistant,poste vacants poste ouvert type désiré temps plein contrat débutant niveau licence bac rémunération proposée entre langue anglais genre féminin description in for a digital marketing assistant carry out plan manage social marketing collection data marketing data design etc for digital marketing content digital marketing performance performance goal performance training in digital marketing manage large budget timing net exigence social marketing etc technologie date mot clé marketing digital marketing laboratoire marketing assistant
cadre achat approvisionnement,poste vacants poste ouvert type désiré temps plein contrat an niveau licence bac rémunération proposée entre langue français anglais arabe genre féminin description recherche nouveau fournisseur négociation élaboration contrat ’ achat planification passation suivi commande contrôle facture ’ achat gestion stock dédouanement marchandise maîtrise transport … mise place suivi indicateur performance service amélioration continue mettre place respecter norme société service exigence logiciel bureautique bonne communication avoir sens travail équipe autonome rigoureux sérieux discrétion respect confidentialité date mot clé cadre achat approvisionnement
junior,poste vacants poste ouvert type désiré an niveau bac grand langue français description société in cherche client basé junior poste télétravail exigence junior profil profil testeur auto expérience réussie ’ automatisation test autonome fait retour négatif développeur doit oser remonter être contradiction choix fait développeur bac bac beaucoup bon niveau français écrit parlé outil version gestion ticket idéalement certification profil a conduit phase validation coordination test report bac an ’ expérience bon niveau français écrit parlé autonome bon sens management outil version gestion ticket idéalement certification niveau test manager date mot clé junior management
gestionnaire office,poste vacants poste ouvert type désiré niveau licence bac description réception état marché émanant traitement journée boursière rapprochement avis ’ opéré ordre ’ achat vente rapprochement ’ état récapitulatif journée avis ’ opéré communication avis relevé client envoi suivi fichier tenue registre portail dépositaire central avis ’ exécution envoi fichier rapprochement portail dépositaire central traitement opération titre augmentation capital détachement coupon conversion droit … traitement exigence avoir moins licence gestion économie finance… avoir bonne connaissance activité marché financier avoir bonne connaissance réglementation régissant marché financier compétence solide informatique date mot clé gestionnaire office gestion économie finance finance
,poste vacants poste ouvert type désiré description groupe cherche succursale commercial assurer tache suivant prospecter marché potentiel développer portefeuille client répondre besoin client assurer suivi vente exigence diplôme supérieur industriel mécanique maintenance industriel électromécanique date mot clé industriel mécanique maintenance industriel électromécanique
réceptionniste,poste vacants poste ouvert type désiré an niveau lycée niveau bac rémunération proposée confidentiel langue français anglais arabe genre indifférent description groupe société installé lac cherche recruter réceptionniste exigence avoir niveau bac minium expérience poste similaire atout bon niveau langue français anglais bon relationnel maîtrise outil informatique polyvalente dynamique organisée bon sens relationnel très bonne présentation date mot clé accueil réception téléphonique entreprise anonyme réceptionniste
,poste vacants poste ouvert type désiré temps plein temps partiel indépendant intérim saisonnier contrat langue français description société conseil marketing communication recherche disponibilité a pourvoir immédiatement poste mission conception plaquette commerciale mail commercial conception plaquette visuel mail conception artistique produit message création logo création création collecte compression vidéo création plaquette montage vidéo création vidéo etc exigence profil sens bonne connaissance courant artistiques bonne analyse produit bon relationnel perfectionniste organisation rigueur autonomie capacité renouveler curiosité ouverture force proposition date mot clé graphiste montage vidéo chargé artistique plaquette commercial
graphique,poste vacants poste ouvert type désiré temps plein indépendant intérim saisonnier contrat langue français description société conseil marketing communication recherche graphique disponibilité a pourvoir immédiatement poste mission conception plaquette commerciale mail commercial conception plaquette visuel mail conception artistique produit message création logo création création collecte compression vidéo création plaquette montage vidéo création vidéo etc exigence profil sens bonne connaissance courant artistiques bonne analyse produit bon relationnel perfectionniste organisation rigueur autonomie capacité renouveler curiosité ouverture force proposition date mot clé graphiste montage vidéo chargé artistique plaquette commercial
java testeur,poste vacants poste ouvert type désiré temps plein débutant niveau lycée niveau bac rémunération proposée confidentiel langue français anglais arabe genre indifférent description dynamique active développement informatique compte client étranger a vision démocratiser outil informatique industriel complexe démarche consiste accompagner client leurs acquisition utilisation solution logicielles propriétaire leurs département équipe travaillent passion détermination faire monde industriel endroit plus prévisible connecté intelligent fiers travail convaincus valeur appuyons chacun atteindre description poste afin renforcer équipe poste java testeur vient sein ’ manière générale faudra assurer qualité développement exigence tâche rédiger plan test développement spécifiques dérouler plan test automatiser plan test profil minimum exigé bonne connaissance java curiosité volonté nouvelle technologie persévérance niveau élevé passion qualité date mot clé java test automation rédaction exécution qualité développement java java testeur java testeur java
secrétaire médicale,poste vacants poste ouvert type désiré débutant genre féminin description mission – accueil patient – répondre téléphone organiser rendez-vous – stérilisation instrument – assister fauteuil besoin – horaire travail heure heure heure pause déjeuner exigence profil – sérieux – niveau minimum bac expérience formation domaine médical souhaitable – français requis – habite a – contrat exigé – dynamique responsable motivée sérieux organisée ponctuelle accueillante surtout digne confiance date mot clé secrétaire médicale
assistant commerciale,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français description société renommée opérant fabrication commercialisation équipement industriel sise zone industriel recherche « assistant commerciale » motivée renforcer équipe vente tant commerciale responsable fournir soutien administratif service client haute qualité travaillerez étroite collaboration assurer bon fonctionnement opération exigence sens service client aptitude travailler équipe excellente communication orale écrit français capacité persuasion capacité gérer plusieurs tâche simultanément respecter délai rigueur capacité prendre initiative maîtrise pack office dynamique enthousiaste habite proximité date mot clé assistant commerciale communication
assistant assistant projet junior,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français anglais arabe genre indifférent description description projet projet salon novateur rassemble multitude profil tels faculté privées tunisien faculté publiques centre formation continue professionnel société recrutement faculté internationale ambassade bien encore salon offre dynamique divers secteur rencontrent description poste tant projet jouerez rôle essentiel gestion efficace projet sein équipe collaborerez étroitement gestion projet assurer coordination communication suivi différentes phase projet responsabilité incluront collecte mise jour donnée préparation rapport gestion agenda participation planification commercialisation service concerne critère sélection niveau bac plus domaine recherchons candidat tous horizon car croyons valeur compétence peut acquérir chaque spécialité capacité enrichir entreprise expérience expérience professionnel moins an avantage critère éliminatoire cependant expérience associative constitue atout majeur exigence tant projet principale mission consistent planification contribuer création mise jour plan projet soutien logistique aider planification coordination événement activité liées projet telles formation réunion atelier soutien administratif fournir soutien administratif général tel gestion courrier électronique planification gestion liste commercialisation identifier nouveau prospect client potentiel comprendre leurs besoin proposer solution adaptées maintenir relation confiance long terme assurer satisfaction client maximiser opportunité vente additionnelles communication assurer communication efficace entre partenaire externe partie prenantes suivi suivre projet contribuer préparation mise jour rapport projet date mot clé assistant assistant projet junior
commercial,poste vacants poste ouvert type désiré temps plein indépendant contrat an langue français description recherche commercial exigence motivé dynamique date mot clé société commercial commercial communication
assistant direction,poste vacants poste ouvert type désiré temps plein an genre féminin description cherche assistant direction exigence sérieux motivé date mot clé société assistant administration gestion
développeur salaire attractif possible,poste vacants poste ouvert type désiré temps plein an genre indifférent description a propos filiale groupe leader depuis an secteur public français agence digitale dédiée exclusivement ministère administration collectivité institution hôpital ’ francophone groupe stratis… classé top français étude meilleur agence secteur public baromètre acteur public nombreuses récompense nationale cap ’ croissance doublement chiffre ’ affaire tous an collaborateur accéléré fond soutien ’ innovation client secteur public marché ’ durée moyenne an carnet commande représentant an ’ activité conçoit stratégie digitale solide audit marque écosystème transformation cybersécurité… développe solution digitale efficientes internet usine site digital place application mobile dématérialisation hébergement… fonde culture pilier qualité ’ innovation haut niveau ’ expertise fiabilité collaboration ’ éthique relation client valeur raison ’ inscrivent concrètement quotidien collaborateur enrichissement continu savoir accompagnement certification confiance responsabilité concertation interne management compétence pratique responsable rémunération motivante mission rattaché direction technique charge création complexe via langage autres permettant faciliter développement dispose logiciel interne fort enjeu permettant répondre besoin collaborateur outil constante évolution doivent évoluer suivant nouvelle attente aussi force proposition création facilitant quotidien collaborateur aussi amené créer développement mesure via typo permettant répondre besoin client modalité poste basé possible rémunération attractive selon profil assurance ticket restaurant prime productivité poste tous moi merci adresser détaillé disponibilité prise poste durée préavis actuel après négociation disponibilité immédiate… prétention salariale net mensuel exigence principale compétence expérience notable force proposition composer docker compétence supplémentaires appréciées expérience anglais intermédiaire date mot clé expert
assistant,poste vacants poste ouvert type désiré temps plein indépendant contrat an description cherche assistant exigence ponctuelle sérieux date mot clé administration assistant gestion organisation comptabilité
,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français anglais allemand genre indifférent description about a division a a long in car have range have a range software support about docker test in test concept a communication apis test code for unit production standard for test exigence or driver apis python script date mot clé python
technicien expérience surveillance,poste vacants poste ouvert type désiré temps plein indépendant contrat an description cherche technicien exigence motivé dynamique date mot clé société technicien expérience
assistant commercial,poste vacants poste ouvert type désiré temps plein contrat an langue français anglais description cherche assistant commercial exigence motivé sérieux date mot clé commerce assistant commercial assistant commerciale administration gestion
technicien expérience informatique,poste vacants poste ouvert type désiré temps plein description vidéo surveillance cherche technicien exigence motivé dynamique date mot clé société technicien expérience informatique
agent comptable financier,poste vacants poste ouvert type désiré temps plein contrat an langue français genre indifférent description agent comptable financier exigence bonne connaissance fiscalité date
commercial,poste vacants poste ouvert type désiré temps plein indépendant contrat an description cherche commercial exigence motivé dynamique date mot clé société commerce communication commercial
agent comptable financier,poste vacants poste ouvert type désiré temps plein an description agent comptable financier exigence bonne connaissance comptabilité fiscalité date mot clé agent comptable financier comptabilité fiscalité
graphiste,poste vacants poste ouvert type désiré rémunération proposée confidentiel langue français genre indifférent description agence communication français an lance activité ’ recrute filiale tunisien graphiste disponible partir fin assurez création différent dossier recherchons profil « moteur » inspiré travaux aussi bien créatif • création ’ outil vente présentation visuel newsletter… • conception présentoir affiches… • réalisation • création visuel destinés ’ animation différent réseau sociaux • retouche photo • création divers support communication exigence profil recherché recherchons personne dynamique motivées vecteur ’ idée nouvelle force proposition • an ’ expérience minimum graphiste débutant an minimum confirmé • maîtrise parfaite outil informatique pack • bac minimum créatif aimez design intéressez évolution secteur disposez ’ bon relationnel savez travailler équipe organisée savez gérer priorité sou direction chef projet situés charge • créer concevoir différent support communication client interne externe • préparer fichier ’ impression • archiver dossier fichier image déjà réalisé charte graphique catalogue fiche produit poster bannière bannière publicité dossier presse etc maîtrise développement ’ application mobile plus date mot clé graphiste
développeur,poste vacants poste ouvert type désiré contrat an description émergence nouvelle technologie nouvelle langage programmation développement peut rendre obsolètes compétence existantes nécessiter développeur former nouvelle technologie automatisation outil développement basés lia tâche développement grâce artificielle automatique peut réduire demande développeur certaines tâche répétitives routinier migration ver plus plus migrent leurs application ver cela peut modifier compétence requises développeur mettant compétence développement architecture développement développement permet personne moins technique créer application sans avoir besoin compétence codage avancée cela peut réduire demande développeur traditionnels certain secteur changement préférence utilisateur tendance matière utilisateur conception peuvent changer rapidement obligeant développeur nouvelle norme pratique conception certaines entreprise choisissent développement mobile ver équipe fournisseur service cela peut entraîner réduction demande développeur locaux intégration technologie décentralisées technologie décentralisées développeur doivent acquérir nouvelle compétence concevoir développer application basées technologie sécurité conformité réglementaire exigence matière sécurité conformité réglementaire évoluent constamment obligeant développeur rester jour meilleur pratique sécurité réglementation pertinentes date mot clé développeur développeur
responsable ’ business unit formation manager,poste vacants poste ouvert type désiré temps plein langue français anglais arabe description cabinet conseil recherche directeur business unit formation responsable développement gestion autonome formation a mission responsabilité définir stratégie département lien objectif groupe besoin développement commercial département développer portefeuille client prospecter nouveau client négocier contrat assurer suivi commercial analyser besoin formation client etc élaborer catalogue formation domaine assurer veille concurrentielle attentif évolution marché formation nouvelle tendance innovation effectuer veille concurrentielle positionner groupe manière compétitive piloter mise stratégie département formation assurer suivi déroulement bonne organisation formation plan pédagogique logistique satisfaction apprenant gérer pédagogique département formateur recherche négociation évaluation etc gérer ’ équipe département commerciaux… recrutement encadrement etc exigence compétence connaissance ingénierie formation capacité pilotage coordination capacité communication négociation compétence gestion ’ équipe leadership compétence commerciale connaissance métier lit connaissance pédagogiques expérience formateur ’ enseignant formation bac formation management management projet technologie ’ information autres spécialité similaires expérience an minimum domaine formation idéalement tant responsable bureau formation non entreprise candidature féminines celles personne besoin spéciaux vivement encouragées date mot clé formation manager responsable ’ business unit formation manager
professeur,poste vacants poste ouvert type désiré indépendant an niveau licence bac rémunération proposée confidentiel langue français anglais arabe genre indifférent description société italien basée zone industriel a besoin former groupe employé cadre langue anglaise sein date mot clé formation anglais langue professeur
assistant,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français anglais genre masculin description recherche assistant qualité hygiène sécurité environnement rejoindre agence basée profil demandé licence qualité sécurité environnement mission supporter responsable ’ agence prendre charge tâche quotidien service niveau ’ agence exigence capacité travailler équipe expérience préalable domaine sans expérience bon niveau français anglais parlé écrit présentable dynamique date mot clé tic assistant
chargé,poste vacants poste ouvert type désiré temps plein contrat langue français description cadre projet déploiement fibre optique recherchons chargée ’ étude mission ✳ dimensionner réseau répondre besoin desserte tenant compte règle ’ ingénierie ✳ déterminer parcours réseau souci ’ optimisation infrastructure respect règle applicables ✳ concevoir étude nécessaire infrastructure optique déploiement réseau synoptique plan plan tirage ✳ établir publier livrables nécessaire travaux réaliser plan sou ✳ préparer analyser relevé terrain ✳ assurer support technique auprès équipe terrain ✳ réaliser vérifier calcul charge ✳ réaliser commande ’ accès exigence compétence requises acquérir ✔ forte connaissance technique réseau ✔ maîtrise réalisation ’ étude sou outil ✔ connaissance indispensables logiciel conception réseau ✔ connaissance spécificité opérateur clef main ✔ capacité ’ analyse créativité solution proposées aptitude savoir être ✅ esprit ’ équipe partage ✅ curiosité ✅ rigueur afin gérer efficacement nombre important ’ étude ✅ bonne humeur date mot clé chargé
promoteur,poste vacants poste ouvert type désiré description société opérant désire recruter animateur vente promoteur mission atteindre objectif vente découvrir besoin motivation client animer promouvoir produit client exigence diplôme bac technique vente commerce avoir première expérience domaine avoir ’ esprit ’ équipe bonne communication client moins an date mot clé promoteur vente commerce mit
contrôleur qualité régie,poste vacants poste ouvert type désiré an niveau dut bac genre masculin description assurer poste travail vérifier toutes phase précédentes clôturées fiche suiveur vérifier quantité ’ physiquement préparer dossier contrôle plan nomenclature client si exigés vérifier ’ indice totalité dossier contrôle rapport nomenclature exigée vérifier relevé atelier contrôler pièce suivant gamme contrôle contrôler visuellement pièce ouvrir si a détecté passe contrôle identifier pièce étiquette rouge si décision rebut pointer bon feuille suivi contrôle série marquage étiquette pièce demandées renseignés fiche suiveur assurer nettoyage propreté pièce dégraissage mettre pièce ’ étagère dédiée ’ envoi assurer contrôle pied machine coopérer aider collègue travail façon optimiser performance intégrer former collègue travail proposer réaliser amélioration exigence direction bu indus branche ’ activité indus aéronautique automobile grade opérateur niveau ’ étude niveau ’ expérience expérience exigée classification interne mobilité poste travail tournant matin après midi soir savoir ’ environnement professionnel connaissance fonctionnement processus industriel connaissance approfondie différent modèle gestion management qualité connaissance approfondie norme référentiel qualité plus courant secteur aéronautique automobile connaissance générale technique documentaire appliquées démarche qualité opérationnel maîtriser outil méthode qualité promouvoir porter justifier projet coordonner acteur institution bâtir enquête analyser interpréter résultat audit indicateur qualité maîtriser technique présentation écrite orale gérer documentation interne externe utiliser outil informatique courant ainsi logiciel spécialisés savoir être ’ adapter tout public relation fonctionnelles hiérarchiques savoir rendre compte sens ’ initiative travailler interaction partenaire très divers communiquer convaincre négocier identifier besoin formation qualité animer action formation anticiper changement procéder nécessaire ajustement domaine qualité respect confidentialité date mot clé alpha engineering technologie contrôleur qualité régie
,poste vacants poste ouvert type désiré temps plein an niveau licence bac rémunération proposée entre langue français genre indifférent description développer client existant prospecter nouveau client analyser mensuellement manière précise évolution client force proposition ’ amélioration vente réaliser visite client régulière basées analyse vente détecte analyse nouveau besoin client développe portefeuille client ’ optimisation relation client principalement action suivi vente contrat maintenance contrat location exigence formation bac date mot clé
vente téléphone secteur assurance,poste vacants poste ouvert type désiré temps plein an rémunération proposée plus langue français description recherchons téléphoniste domaine assurance centre nouvellement créé information lundi vendredi salaire net commission signature affiliation bureau contrat période moi formation interne continue petit équipe ambiance travail bienveillante non toxique responsabilité conseiller client potentiel produit téléphone identifier besoin spécifiques client proposer solution adaptées gérer efficacement processus vente bout bout établir entretenir relation clientèle durables avantage possibilité formation continue développement professionnel rémunération compétitive prime objectif possibilité dévolution sein environnement travail stimulant si passionné assurance dotée dune expérience probante vente téléphone souhaitez contribuer succès dune équipe attendons candidature exigence très bonne maîtrise français moi minimum prospection bonne compétence communication capacité établir connexion client orientation résultat capacité atteindre dépasser objectif vente date mot clé centre vente téléphone secteur assurance
préparateur technique,poste vacants poste ouvert type désiré temps plein contrat niveau ingénieur langue français anglais genre indifférent description préparateur technique doit réaliser plan paramétrer réf base réalise ’ industrialisation pièce élémentaires maintient dossier fabrication jour création gamme fabrication mécanique équipement lancer valide fabrication tenir jour statut gamme fabrication produit pilote validation première industrialisation pièce élémentaires assurer respect processus fabrication produit mettre jour dossier fabrication prendre compte toute évolution dossier définition apporter support résolution problème technique lié outillage moyen exigence direction bu indus branche ’ activité indus aéronautique automobile grade agent maîtrise niveau ’ étude ingénieur industriel équivalent niveau ’ expérience non exigé classification interne mobilité savoir ’ environnement professionnel connaissance fonctionnement processus industriel connaissance approfondies méthode fabrication assemblage connaissance approfondie norme référentiel qualité plus courant secteur aéronautique automobile connaissance générale technique documentaire appliquées démarche qualité opérationnel maîtrise outil logiciel informatique tels ainsi gestion donnée programme automate production industriel api machine commande numérique aptitude communiquer aussi bien équipe interne ’ externe grand sens responsabilité respecter consigne sécurité aptitude travailler façon autonome bonne aisance relationnelle parfaite connaissance domaine technique rapportant activité respecter procédure savoir être ’ adapter tout public relation fonctionnelles hiérarchiques savoir rendre compte sens ’ initiative travailler interaction partenaire très divers communiquer convaincre négocier identifier besoin formation qualité animer action formation anticiper changement procéder nécessaire ajustement domaine qualité respect confidentialité date mot clé préparateur technique régie mécanique aéronautique technicien supérieur
agent commercial,poste vacants poste ouvert type désiré langue français anglais arabe genre féminin description recherche agent commercial exigence motivé dynamique date mot clé technique commerciale commerce
femme ménage,poste vacants poste ouvert type désiré temps partiel description femme ménage date mot clé voyage femme ménage
professeur,poste vacants poste ouvert type désiré indépendant an niveau licence bac rémunération proposée confidentiel langue français anglais arabe italien genre indifférent description société italien basée zone industriel a besoin former groupe employé cadre langue italien sein date mot clé formation italien langue professeur
produit téléphonique,poste vacants poste ouvert type désiré temps plein an rémunération proposée entre langue français description maîtrisez français réussite domaine centre voulez travailler environnement stable accueillant sans pression passionné salaire net selon profil prime challenge ticket repas transport assuré samedi dimanche off titularisation convention contrat exigence connaissance produit télécommunication réception émission orange date mot clé communication produit téléphonique
responsable ressource humaines,poste vacants poste ouvert type désiré an niveau bac grand rémunération proposée confidentiel langue français anglais genre indifférent description responsable ressource humaines joue rôle fondamental gestion stratégique opérationnelle ressource humaines sein cette personne chargée superviser toutes activité liées gestion personnel rémunération avantage sociaux conformité réglementaire relation employé travaille étroite collaboration direction élaborer mettre politique programme alignés objectif stratégiques département description déploiement politique informer orienter conseiller salarié leurs manager droit obligation chacun promouvoir culture positive inclusive axée performance diffuser information nécessaire bon fonctionnement société traitement opération courante superviser gestion personnel compris tenue dossier employé gestion congé évaluation performance résolution conflit mettre réaliser acte gestion administratif concernant situation salarié maîtriser ’ organisation administratif travers création rangement classement support gérer politique rémunération sociaux compris salaire avantage sociaux récompense incitation gestion donnée exploiter système afin fournir donnée fiables participer mise dispositif processus outil piloter indicateur performance définir indicateur mode suivi identifier analyser anomalie dysfonctionnement déployer action correctives mettre place animer sujet ’ amélioration matière gestion diffuser tableau bord exigence compétence requises savoir maîtriser législation sociale maîtriser principe gestion personnel maîtriser principe management technique méthodologique mettre politique rémunération gérer relation sociale a ’ écoute tout évènement pouvant affecter climat social savoir réagir rapidement face problème conflit savoir gérer priorité rigoureux méthodique pragmatique sens ’ écoute date mot clé ressource humaines responsable ressource humaines administration industrie ressource humaines
formateur formateur langue anglaise,poste vacants poste ouvert type désiré temps plein langue anglais genre indifférent description recrutons formateur langue anglaise disponible cour classe ligne cour jour soir exigence possession diplôme universitaire langue français maîtrise parfaite langue connaissance approfondie cadre européen commun référence langue excellentes capacité communication être dynamique patient fiable date mot clé anglais formateur langue training formateur formateur langue anglaise
maître,poste vacants poste ouvert type désiré an niveau dut bac rémunération proposée entre langue français anglais genre masculin description recherchons profil maître unité exigence titulaire restauration bonne maîtrise langue étranger expérience poste similaire date mot clé restauration ksar maître restauration
logistique transport poids lourd,poste vacants poste ouvert type désiré temps plein an rémunération proposée entre langue français anglais description modernise entreprise agence basée offrant service marketing développement logiciel négociation internationale recrutement international recherche logistique transport poids lourd joindre équipe dynamique compte client candidat idéale responsable trouver solution adéquates répondre besoin client tout respectant cadre procédure définies traiter leurs différentes demande cour contrat toutes procédure relative marketing partenaire internationaux plus tant membre ’ équipe ’ opportunité découvrir nouveau marché développer idée défi plus motivants assurer carrière exigence maîtrise parfaite langue français atout expérience an logistique transport poids lourd bonne élocution date mot clé logistique transport logistique transport poids lourd
formateur formateur langue français,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français genre indifférent description recrutons formateur langue français disponible cour classe ligne cour jour soir exigence possession diplôme universitaire langue français maîtrise parfaite langue connaissance approfondie cadre européen commun référence langue excellentes capacité communication être dynamique patient fiable date mot clé français formateur langue formateur formateur langue français training
chef réception,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée entre langue français anglais allemand russe genre indifférent description unité étoile cherche recruter chef réception formation supérieur technique poste similaire bonne langue logiciel exigence expérience poste similaire bonne langue date mot clé hébergement accueil client ksar chef réception
fret aérien,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français genre indifférent description description digital business entreprise spécialisée gestion terminal recherche dune fret aérien passionné rejoindre équipe dynamique descriptif poste recherche ’ fret aérien a sens aigu ’ organisation qualité réactif afin pouvoir gérer imprévus circulation produit délai impartis diplomatie aisance relationnelle faut savoir jongler entre différent service interlocuteur tant spécialisé fret aérien responsable gestion coordination expédition fret aérien bout bout principale responsabilité incluront communication compagnie aériennes suivi envoi préparation documentation douanier résolution problème logistique mission responsabilité rédiger procédure gestion flux élaborer tableau bord effectuer suivi ’ activité planning fabrication livraison être ’ interface entre partenaire logistique fournisseur client gérer relation effectuer suivi ’ assurer bon déroulement opération commerciale assurer suivi règlement litige coordonner expédition fret aérien collaboration compagnie aériennes fournisseur client préparer vérifier documentation nécessaire fret aérien compris déclaration douane document transport assurer suivi envoi garantir livraison temps voulu résoudre problème logistique éventuel gérer exigence réglementaires douanier liées fret aérien collaborer équipe interne optimiser processus logistique améliorer opérationnelle exigence expérience avérée domaine logistique fret aérien préférence connaissance approfondie procédure douanier réglementation internationale maîtrise outil informatique suivi envoi gestion chaîne capacité démontrée travailler sou pression résoudre problème manière respecter délai excellentes compétence communication relation interpersonnelles diplôme universitaire équivalent domaine pertinent logistique commerce international etc date mot clé fret aérien digital business informatique
commercial,poste vacants poste ouvert type désiré contrat débutant niveau dut bac langue français genre féminin description société spécialisée vente matériaux construction recherche deux commercial renforcer équipe mission présentation démonstration produit rencontre prospect prise commande finalisation vente exigence habite zone oued date mot clé finition moderne commercial
transport camion,poste vacants poste ouvert type désiré temps plein temps partiel an rémunération proposée entre langue français anglais description modernise entreprise agence internationale basée offrant service marketing développement logiciel négociation internationale recrutement international recherche dune service transport camion joindre équipe dynamique compte client candidat idéale responsable déterminer client potentiel dévaluer leurs besoin recommander sélection bien service appropriés négocier prix autres terme vente développer maintenir connaissance technique produit service offerts développer stratégie vente atteindre objectif cour contrat accéderez toutes procédure relative marketing partenaire internationaux plus tant membre ’ équipe ’ opportunité découvrir nouveau marché développer idée défi plus motivants assurer carrière exigence dynamique ambitieux maîtrise parfaite langue français atout expérience an vente service transport camion bonne élocution fibre commerciale date mot clé transport camion
formateur bâtiment,poste vacants poste ouvert type désiré temps partiel an niveau licence bac rémunération proposée confidentiel langue français arabe genre indifférent description training recherche formateur électricité animer session formation électricité bâtiment exigence exigence formation minimum bac expérience minimum an domaine expérience tant formateur souhaitée connaissance approfondie norme sécurité nationale internationale capacité enseigner manière efficace favoriser culture sécurité date mot clé training formateur électricité technicien bâtiment
factotum,poste vacants poste ouvert type désiré an niveau bac professionnel cap rémunération proposée confidentiel langue français anglais genre masculin description cherchons profil factotum poste similaire exigence poste similaire date mot clé maintenance entretien ksar factotum
directeur magasin,poste vacants poste ouvert type désiré temps plein description indigo groupe représentant plusieurs enseigne internationale domaine prêt porter leader domaine mode recrute magasin mission tant directeur limage directement responsable réussite magasin solide compétence leadership expérience vente devront donner équipe tout effectuant diverses tâche liées service client merchandising vente gestion stock ressource humaines opération responsabilité service client fournir plus haut niveau soin clientèle merchandising toujours magasin bien approvisionné faire merchandising magasin soutien vente gestion stock superviser nouveau arrivage contrôler tous retour article défectueux respecter constamment objectif vente fixé direction tout dépasser attente ressource humaines assurer formation adéquate tout personnel identifier vendeur potentiel promotion interne recrutement entretien gestion veiller toutes procédure appliquées encadrer vente développer rentabilité magasin autres opération gérer tous problème relatif service général maintenance commande magasin climatisation… suivre toutes politique procédure mettant principe gestion exigence exigence formation supérieur spécialisée vente commerce gestion minimum an poste similaire capacité effectuer plusieurs tâche cadre rapide excellente aptitude communication rigoureux bonne capacité ordre priorité tâche maximiser prendre initiative atteindre objectif fixé diriger motiver donnant avantage salaire base très motivant environnement travail unique enrichissant opportunité carrière date mot clé indigo directeur magasin vente commerce gestion
assistant direction,poste vacants poste ouvert type désiré temps plein an niveau bac professionnel cap rémunération proposée entre langue français anglais arabe genre féminin description assistant direction exigence secrétaire direction gestion organisation coordination service société direction générale expérience exigé préparation tenue dossier gérant avoir connaissance parfaite informatique excellente expérience secrétariat rapidité clavier frappe aveugle point alphanumérique souriante dynamique ponctuelle avenante sens ’ initiative confidentialité être responsable excellente présentation bonne élocution bon niveau communication maîtrise outil bureautique excelpowerpoint… langue arabe date mot clé assistant direction
comptable senior,poste vacants poste ouvert type désiré an genre féminin description recherche comptable talentueux rigoureux candidat idéal solide expérience comptabilité générale analytique capable travailler manière autonome précision exigence comptabiliser opération courante achat vente trésorerie rapprochement transaction financière quotidien liées vente achat frai général etc déclaration élaboration situation comptable intermédiaire annuelles collaboration gestion immobilisation suivi stock clôture compte annuels date mot clé comptable
contrôleur personnel,poste vacants poste ouvert type désiré an niveau maîtrise bac rémunération proposée confidentiel langue français anglais genre indifférent description cherchons profit contrôleur personnel note unité exigence formation supérieur ressource humaines gestion économique sociale droit bonne connaissance législation travail dynamique motivé sérieux date mot clé ressource humaines droit ksar ressource humaines droit gestion économique sociale contrôleur personnel hôtellerie tourisme ressource humaines
réceptionniste,poste vacants poste ouvert type désiré an niveau dut bac rémunération proposée confidentiel langue français anglais allemand russe genre indifférent description réceptionniste expérimenté exigence expérience poste similaire bonne maîtrise langue étranger bonne connaissance logiciel date mot clé hébergement accueil client ksar réceptionniste
téléphonie,poste vacants poste ouvert type désiré temps plein an niveau bac professionnel cap rémunération proposée entre langue français genre indifférent description digital filiale agence group distributeur business basé recrute cadre développement génération qualifiés téléphonie site proposons · contrat · base salaire dinar mensuel fixe · prime non plafonnée fonction rendement · plan carrière exigence expérience exigée date mot clé téléphonie digital téléphonie
technicien automatisme,poste vacants poste ouvert type désiré temps partiel an niveau licence bac description entreprise spécialisée conception fabrication machine industriel sise recherche technicien automatisme expérimenté possédant minimum an programmation siemens expertise candidat idéal responsable développement programmation câblage mise service système automatisé tout garantissant bon fonctionnement principale mission développer programmer mettre service système automatisés utilisant automate siemens mettant fiabilité performance assurer conformité norme sécurité lors conception mise solution conception armoire électriques câblage installation électrique machine installées diagnostiquer résoudre efficacement problème technique rencontrés lors installation concevoir spécification automatisée fonction cahier charge réaliser test mise service réalisation réglage mise service ’ installation modification équipement former utilisateur prise main installation contribuer rédaction cahier charge analyse fonctionnelles rédiger procédure associées fonctionnement ’ installation gérer sauvegarde documentation exigence diplômé automatisme informatique industriel génie électrique électromécanique minimum an tant maîtrise approfondie programmation configuration maîtrise automate compétence montage câblage armoire électriques connaissance indispensables sécurité assurer conformité norme réglementation vigueur capacité démontrée résoudre problème travailler manière autonome environnement production variés compétence interpersonnelles solide collaborer efficacement équipe multidisciplinaires client plus permis cour validité poste implique déplacement professionnel date mot clé technicien automatisme automatisme informatique industriel génie électrique électromécanique
